Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Heat Set Inserts","To join the 3d printed parts with the esp-32 board when assembling the project. ",1,1.50,"https://www.aliexpress.com/item/1005006302728370.html?spm=a2g0o.productlist.main.17.159c18e81vUcNy&algo_pvid=d82d38e8-467f-4e5d-aca9-0b7d824513cf&algo_exp_id=d82d38e8-467f-4e5d-aca9-0b7d824513cf-16&pdp_ext_f=%7B%22order%22%3A%221224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.39%211.38%21%21%2121.51%216.76%21%402101ee6617780785280954290eea28%2112000036688629599%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aac2fd130%3Bm03_new_user%3A-29895%3BpisId%3A5000000205312657&curPageLogUid=rNCrxSDY6DGZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006302728370%7C_p_origin_prod%3A","Aliexpress"
"1.28in Display","used for displaying the spotify album cover for the music",1,15.14,"https://www.aliexpress.com/item/1005012049323480.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.12425AbO5AbOQL&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=0aad3004-1985-48ef-b498-54194fec02ff&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A0aad3004-1985-48ef-b498-54194fec02ff%2Ctpp_buckets%3A668%232846%238114%231999&isseo=y&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005012049323480%7C_p_origin_prod%3A","Aliexpress"
